Fecha ,Precio,Ventas
01/01/07,1.041908788,371996
01/02/07,1.045645402,361797
01/03/07,1.050976905,454561
01/04/07,1.056201674,446447
01/05/07,1.078898878,509315
01/06/07,1.078274519,454084
01/07/07,1.062736462,432832
01/08/07,1.060511917,458801
01/09/07,1.060208063,403840
01/10/07,1.058677034,434445
01/11/07,1.049749796,383375
01/12/07,1.05002377,353054
01/01/08,1.055232033,373072
01/02/08,1.052380537,385737
01/03/08,1.053083414,420721
01/04/08,1.056507558,474245
01/05/08,1.067660246,516748
01/06/08,1.06912832,454323
01/07/08,1.07377949,455332
01/08/08,1.07814969,485570
01/09/08,1.078182317,438661
01/10/08,1.073633489,433802
01/11/08,1.057105575,392532
01/12/08,1.058792932,387577
01/01/09,1.063747535,389056
01/02/09,1.064678486,368027
01/03/09,1.056462833,477207
01/04/09,1.051871558,506881
01/05/09,1.048417761,494144
01/06/09,1.04014808,502394
01/07/09,1.027091411,476896
01/08/09,1.044235922,487650
01/09/09,1.047383146,459463
01/10/09,1.042611913,468653
01/11/09,1.038488232,396367
01/12/09,1.034768488,397011
01/01/10,1.028482685,391762
01/02/10,1.024846656,392037
01/03/10,1.023523975,469571
01/04/10,1.029367089,493100
01/05/10,1.044725755,545253
01/06/10,1.039765369,539254
01/07/10,1.03478263,506696
01/08/10,1.034675611,498229
01/09/10,1.027474569,493687
01/10/10,1.029300052,473664
01/11/10,1.026728827,437202
01/12/10,1.022123818,401895
01/01/11,1.023736061,428951
01/02/11,1.020903484,423234
01/03/11,1.019707641,523376
01/04/11,1.017875944,568522
01/05/11,1.028921947,570248
01/06/11,1.030828939,600997
01/07/11,1.03015809,486741
01/08/11,1.024245909,542698
01/09/11,1.028085778,487804
01/10/11,1.017541411,468700
01/11/11,1.000585664,439820
01/12/11,1.007914263,420412
01/01/12,1.017231826,431887
01/02/12,1.023210949,429985
01/03/12,1.02569665,531755
01/04/12,1.031370928,518735
01/05/12,1.034499366,569511
01/06/12,1.0343447,587135
01/07/12,1.03298172,553157
01/08/12,1.029803794,546506
01/09/12,1.021745062,536422
01/10/12,1.017148665,525873
01/11/12,1.011886721,480491
01/12/12,1.013788316,455096
01/01/13,1.012714289,457238
01/02/13,1.007980263,442242
01/03/13,1.007777456,475758
01/04/13,1.009506098,526378
01/05/13,1.016442248,568112
01/06/13,1.01634623,596656
01/07/13,1.014682803,563952
01/08/13,1.016842243,597382
01/09/13,1.01724577,515745
01/10/13,1.013173134,537890
01/11/13,1.004680341,472241
01/12/13,0.998410348,443571
01/01/14,0.994911496,481480
01/02/14,0.98799359,453935
01/03/14,0.97857564,537474
01/04/14,0.993261731,583961
01/05/14,1.018900111,560435
01/06/14,1.015354949,570698
01/07/14,1.014230601,570764
01/08/14,1.010537682,633388
01/09/14,1.004617208,553304
01/10/14,1.003508632,549443
01/11/14,0.99485305,531022
01/12/14,0.990950457,492810
01/01/15,0.996720917,534008
01/02/15,0.988257499,481971
01/03/15,0.97812935,592740
01/04/15,0.98259698,619663
01/05/15,0.997361198,645303
01/06/15,0.99678329,621610
01/07/15,1.009886431,644942
01/08/15,1.007479851,696197
01/09/15,1.005029123,640110
01/10/15,1.005227175,638403
01/11/15,1.013057255,567022
01/12/15,1.015399997,592681
01/01/16,1.019917754,570399
01/02/16,1.013661875,516193
01/03/16,1.004398846,629116
01/04/16,1.005067559,718427
01/05/16,1.020003554,780164
01/06/16,1.021358867,755708
01/07/16,1.020841876,700785
01/08/16,1.013382536,708923
01/09/16,1.013625983,710427
01/10/16,1.007544788,698673
01/11/16,1.006838197,621232
01/12/16,1.017413107,617586
01/01/17,1.00587249,618054
01/02/17,0.99814815,543156
01/03/17,0.995546987,634000
01/04/17,1.010855122,719194
01/05/17,1.015543976,744605
01/06/17,1.013328063,794197
01/07/17,1.005089572,708812
01/08/17,1.005594635,773648
01/09/17,0.998638341,746078
01/10/17,0.995015689,702077
01/11/17,0.990423138,671183
01/12/17,0.995579117,631876
